epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,337.714,1.50242,2.62684,1.23575,0.52094,0.51667,0.51952,0.33502,1.2944,1.80685,1.13247,0.000475652,0.000475652,0.000475652
2,664.28,1.45614,1.82656,1.19816,0.61018,0.51476,0.52012,0.32275,1.47437,1.89999,1.21178,0.000933136,0.000933136,0.000933136
3,1000.77,1.46224,1.741,1.17878,0.66036,0.60324,0.61363,0.36355,1.47642,1.57123,1.17997,0.00137176,0.00137176,0.00137176
4,1338.3,1.48009,1.71007,1.19456,0.5918,0.6633,0.57774,0.34585,1.37905,1.78952,1.15933,0.00134412,0.00134412,0.00134412
5,1671.02,1.44633,1.54721,1.16135,0.65145,0.70126,0.63977,0.40604,1.42126,1.54945,1.11026,0.00131582,0.00131582,0.00131582
6,1998.8,1.43262,1.46709,1.15798,0.60422,0.67589,0.57574,0.35394,1.34968,1.53907,1.08715,0.00128753,0.00128753,0.00128753
7,2328.19,1.39769,1.34277,1.13498,0.60075,0.69905,0.57742,0.35144,1.33879,1.7299,1.0983,0.00125923,0.00125923,0.00125923
8,2655.64,1.33983,1.29417,1.14519,0.55852,0.68887,0.62622,0.40656,1.35157,1.7527,1.11993,0.00123094,0.00123094,0.00123094
9,2981.87,1.31071,1.22316,1.06596,0.82968,0.59578,0.71713,0.46,1.35943,1.26083,1.08334,0.00120265,0.00120265,0.00120265
10,3308.26,1.32504,1.24809,1.09452,0.73,0.75539,0.77106,0.51712,1.3796,1.27701,1.113,0.00117435,0.00117435,0.00117435
11,3636.32,1.25684,1.19294,1.06727,0.65562,0.70585,0.69414,0.47658,1.24688,1.41049,1.04691,0.00114606,0.00114606,0.00114606
12,3965.28,1.26026,1.21129,1.05451,0.76653,0.74512,0.78414,0.5349,1.26526,1.12473,1.03567,0.00111776,0.00111776,0.00111776
13,4293.13,1.17045,1.05721,1.01762,0.72635,0.79456,0.75318,0.52659,1.18428,1.27385,1.03464,0.00108947,0.00108947,0.00108947
14,4618.43,1.17898,1.10541,1.01147,0.75174,0.71382,0.79181,0.52672,1.29263,1.1976,1.07066,0.00106118,0.00106118,0.00106118
15,4944.35,1.12573,1.03451,0.99625,0.81671,0.7955,0.81856,0.58445,1.1915,1.07178,1.02397,0.00103288,0.00103288,0.00103288
16,5288.54,1.18014,1.01266,1.03806,0.77624,0.8036,0.83797,0.61746,1.10273,1.06418,0.9907,0.00100459,0.00100459,0.00100459
17,5616.58,1.14037,0.98764,1.00065,0.80937,0.81201,0.84358,0.58833,1.21383,1.03237,1.03062,0.000976293,0.000976293,0.000976293
18,5945.94,1.11042,0.92332,0.98322,0.88127,0.73101,0.80389,0.56921,1.18806,1.07986,1.01465,0.000947999,0.000947999,0.000947999
19,6273.99,1.09611,0.9432,0.97354,0.73796,0.76133,0.72351,0.52334,1.15176,1.26128,0.99288,0.000919704,0.000919704,0.000919704
20,6605.47,1.07339,0.91215,0.96964,0.7579,0.76844,0.77167,0.54174,1.16161,1.10305,1.01446,0.00089141,0.00089141,0.00089141
21,6933.29,1.08535,0.89805,0.9712,0.87789,0.78176,0.84185,0.61217,1.14036,0.96761,0.99956,0.000863116,0.000863116,0.000863116
22,7261.41,1.06412,0.86143,0.96995,0.83178,0.75199,0.82024,0.58891,1.17204,1.10385,1.00496,0.000834822,0.000834822,0.000834822
23,7591.09,1.03628,0.83257,0.9546,0.80741,0.79762,0.82072,0.61861,1.04191,1.07394,0.96662,0.000806528,0.000806528,0.000806528
24,7919.34,1.06407,0.82283,0.97157,0.87038,0.77575,0.87729,0.65305,1.08848,0.91314,0.98135,0.000778233,0.000778233,0.000778233
