epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,352.843,0.70287,0.42438,0.93647,0.90123,0.82917,0.88323,0.69261,0.94922,1.38488,0.6847,0.000473611,0.000473611,0.000473611
2,695.728,0.77185,0.47194,0.96357,0.93912,0.77428,0.84476,0.65281,0.99353,1.4679,0.69373,0.000937405,0.000937405,0.000937405
3,1075,0.81417,0.53831,0.98939,0.95743,0.81508,0.87598,0.68386,0.9911,1.4833,0.69374,0.00138862,0.00138862,0.00138862
4,1578.07,0.82803,0.55167,0.98255,0.92225,0.74106,0.79931,0.60814,1.0275,1.45061,0.69472,0.00137241,0.00137241,0.00137241
5,2051.44,0.85356,0.56414,0.99448,0.82261,0.79535,0.85147,0.67753,0.94156,1.62715,0.68182,0.00135355,0.00135355,0.00135355
6,2630.93,0.82599,0.55335,0.97363,0.84363,0.72719,0.7677,0.58119,1.02133,1.60717,0.70222,0.00133469,0.00133469,0.00133469
7,3133.53,0.81896,0.54993,0.97374,0.91125,0.82791,0.89142,0.69137,0.96737,1.37752,0.67829,0.00131582,0.00131582,0.00131582
8,3645.13,0.83919,0.53232,0.99372,0.87204,0.79398,0.85237,0.65789,1.02373,1.66287,0.70612,0.00129696,0.00129696,0.00129696
9,4172.92,0.8307,0.53202,0.98596,0.91254,0.82208,0.88593,0.69139,0.95603,1.48943,0.67842,0.0012781,0.0012781,0.0012781
10,4898.94,0.84213,0.55859,0.98952,0.92085,0.73555,0.80495,0.63948,0.93886,1.56194,0.67726,0.00125923,0.00125923,0.00125923
11,5567.74,0.83723,0.53657,1.00135,0.86432,0.77559,0.79661,0.61858,0.99938,1.86932,0.69309,0.00124037,0.00124037,0.00124037
12,6203.31,0.83613,0.5404,0.97779,0.9245,0.78392,0.86853,0.68404,0.98187,1.81315,0.6888,0.00122151,0.00122151,0.00122151
13,6890.3,0.81714,0.53394,0.98632,0.85802,0.6892,0.79194,0.61229,0.9939,1.80853,0.69086,0.00120265,0.00120265,0.00120265
14,7595.03,0.81111,0.51504,0.97237,0.87014,0.80981,0.85901,0.65693,1.02212,1.3899,0.69761,0.00118378,0.00118378,0.00118378
15,8243.95,0.81786,0.50776,0.98022,0.89779,0.82029,0.87966,0.68225,0.97749,1.62959,0.6841,0.00116492,0.00116492,0.00116492
16,8860.95,0.80624,0.49105,0.96724,0.94548,0.85528,0.93056,0.72855,0.94125,1.324,0.67113,0.00114606,0.00114606,0.00114606
17,9489.06,0.78119,0.51703,0.96154,0.8446,0.76354,0.82208,0.63914,0.97891,1.98613,0.68746,0.0011272,0.0011272,0.0011272
18,10174.5,0.78296,0.49395,0.96864,0.96125,0.86398,0.92247,0.72523,0.93584,1.43363,0.67939,0.00110833,0.00110833,0.00110833
19,10848.8,0.78832,0.49354,0.97054,0.93369,0.85251,0.90595,0.70075,0.98463,1.3327,0.69073,0.00108947,0.00108947,0.00108947
20,11463.1,0.78453,0.48797,0.96312,0.89103,0.83739,0.88213,0.68311,0.97054,1.5068,0.67973,0.00107061,0.00107061,0.00107061
21,12083,0.78177,0.49267,0.95561,0.93557,0.84805,0.90106,0.71289,0.93464,1.40921,0.67153,0.00105174,0.00105174,0.00105174
22,12763.2,0.78,0.48825,0.95771,0.92831,0.79371,0.87969,0.68129,0.99881,1.64696,0.69808,0.00103288,0.00103288,0.00103288
23,13431.1,0.75526,0.47473,0.94641,0.9518,0.8487,0.91571,0.72911,0.95933,1.36858,0.67692,0.00101402,0.00101402,0.00101402
24,14087.2,0.79755,0.48629,0.97318,0.92303,0.76902,0.8511,0.66806,0.96552,1.65153,0.67935,0.000995156,0.000995156,0.000995156
25,14725.4,0.76956,0.52525,0.95339,0.9044,0.79955,0.8764,0.68613,0.97366,1.52335,0.68933,0.000976293,0.000976293,0.000976293
26,15339.6,0.75101,0.45476,0.94531,0.93216,0.84218,0.8963,0.70194,0.99365,1.56975,0.69043,0.00095743,0.00095743,0.00095743
27,15944.9,0.77437,0.46861,0.96377,0.87433,0.84774,0.88819,0.69276,0.99458,1.4467,0.69149,0.000938567,0.000938567,0.000938567
28,16595.3,0.74942,0.47226,0.95163,0.93455,0.8295,0.90198,0.71132,0.9472,1.35325,0.67112,0.000919704,0.000919704,0.000919704
29,17141.8,0.74998,0.46285,0.9377,0.95322,0.81211,0.90536,0.69868,0.96124,1.45717,0.69093,0.000900842,0.000900842,0.000900842
30,17864.7,0.75116,0.45864,0.96339,0.91901,0.84936,0.89939,0.71263,0.94732,1.44328,0.67897,0.000881979,0.000881979,0.000881979
31,18658.2,0.74416,0.44965,0.95802,0.94932,0.83378,0.9026,0.715,0.93203,1.40677,0.67241,0.000863116,0.000863116,0.000863116
32,19489.2,0.71724,0.43194,0.945,0.92146,0.81201,0.87538,0.69274,0.92794,1.39529,0.67082,0.000844253,0.000844253,0.000844253
33,20302.2,0.73689,0.45244,0.94891,0.95503,0.83141,0.88837,0.70141,0.93319,1.37764,0.67247,0.00082539,0.00082539,0.00082539
34,21082.6,0.71759,0.43492,0.94237,0.92746,0.82061,0.87627,0.69857,0.91424,1.40796,0.66042,0.000806528,0.000806528,0.000806528
35,21890.1,0.71449,0.43403,0.9362,0.9301,0.84515,0.88852,0.70415,0.94286,1.3495,0.67428,0.000787665,0.000787665,0.000787665
36,22704.4,0.68679,0.42486,0.92266,0.91384,0.85217,0.89671,0.70806,0.95539,1.38521,0.68049,0.000768802,0.000768802,0.000768802
37,23418.6,0.69525,0.42337,0.92564,0.9351,0.8581,0.91808,0.72818,0.94276,1.37029,0.68041,0.000749939,0.000749939,0.000749939
38,24147.7,0.68955,0.41648,0.92526,0.89064,0.86541,0.8976,0.71599,0.95895,1.52097,0.68317,0.000731076,0.000731076,0.000731076
39,24915,0.69556,0.40947,0.91989,0.94465,0.8626,0.91801,0.73052,0.94279,1.36008,0.67384,0.000712214,0.000712214,0.000712214
40,25582.3,0.66511,0.405,0.90202,0.9524,0.86948,0.91096,0.73184,0.91561,1.37277,0.66167,0.000693351,0.000693351,0.000693351
41,26277.8,0.68546,0.41036,0.915,0.93587,0.81843,0.89561,0.71274,0.94259,1.43884,0.67088,0.000674488,0.000674488,0.000674488
42,26962.2,0.69009,0.41126,0.92479,0.92401,0.8753,0.91246,0.72923,0.9219,1.36801,0.66858,0.000655625,0.000655625,0.000655625
43,27627.6,0.67415,0.39982,0.91336,0.94035,0.83975,0.90223,0.72642,0.90341,1.33222,0.66425,0.000636762,0.000636762,0.000636762
44,28304.2,0.69595,0.40809,0.928,0.901,0.83948,0.88419,0.71579,0.90095,1.50938,0.66839,0.0006179,0.0006179,0.0006179
45,28967.6,0.65196,0.38388,0.90585,0.92767,0.84549,0.89974,0.71751,0.90955,1.43666,0.66761,0.000599037,0.000599037,0.000599037
46,29599.6,0.66343,0.40887,0.92032,0.88714,0.80281,0.84939,0.67325,0.93882,1.47076,0.67304,0.000580174,0.000580174,0.000580174
47,30218.7,0.65302,0.38304,0.91168,0.89866,0.80088,0.87474,0.70596,0.92423,1.53649,0.67072,0.000561311,0.000561311,0.000561311
48,30854.6,0.65863,0.38551,0.91106,0.89806,0.79184,0.88931,0.71072,0.94311,1.45911,0.67446,0.000542448,0.000542448,0.000542448
49,31422.8,0.65065,0.38325,0.91486,0.94025,0.83442,0.91248,0.73192,0.92934,1.37699,0.66871,0.000523586,0.000523586,0.000523586
50,32054.1,0.64175,0.38433,0.9041,0.93507,0.8401,0.91886,0.73378,0.9163,1.3758,0.66523,0.000504723,0.000504723,0.000504723
51,32696.9,0.61956,0.37926,0.89856,0.95221,0.78665,0.88556,0.70611,0.91521,1.42168,0.66802,0.00048586,0.00048586,0.00048586
52,33357.3,0.63507,0.37502,0.90601,0.93304,0.83112,0.8834,0.70619,0.91318,1.34729,0.66523,0.000466997,0.000466997,0.000466997
53,34038.9,0.62847,0.37562,0.90381,0.86582,0.84207,0.89095,0.70812,0.9156,1.40762,0.66859,0.000448134,0.000448134,0.000448134
54,34613.1,0.62796,0.36161,0.90119,0.93607,0.83068,0.91182,0.72003,0.93089,1.2846,0.67126,0.000429272,0.000429272,0.000429272
55,35265.1,0.62608,0.37223,0.90333,0.94776,0.83451,0.91088,0.72639,0.90202,1.36305,0.66717,0.000410409,0.000410409,0.000410409
56,35889.3,0.62235,0.37451,0.90427,0.92475,0.828,0.89505,0.72095,0.90578,1.41128,0.66529,0.000391546,0.000391546,0.000391546
57,36523.2,0.60585,0.36603,0.88979,0.90815,0.84544,0.88387,0.71138,0.91363,1.35678,0.66701,0.000372683,0.000372683,0.000372683
58,37098.9,0.60936,0.35597,0.89362,0.9125,0.85936,0.91123,0.73231,0.90597,1.35029,0.66438,0.00035382,0.00035382,0.00035382
59,37662.6,0.60465,0.36431,0.88632,0.9477,0.8204,0.90586,0.7228,0.92571,1.36404,0.66802,0.000334958,0.000334958,0.000334958
60,38277,0.59945,0.35949,0.89386,0.88722,0.85558,0.90265,0.7236,0.9161,1.45687,0.66969,0.000316095,0.000316095,0.000316095
61,38874.6,0.59108,0.34458,0.89233,0.92185,0.85436,0.9082,0.72843,0.90704,1.42315,0.6641,0.000297232,0.000297232,0.000297232
62,39428.2,0.58768,0.33842,0.88819,0.92515,0.86611,0.91584,0.73091,0.91305,1.33168,0.66398,0.000278369,0.000278369,0.000278369
63,40000.7,0.5769,0.34333,0.88087,0.93594,0.85032,0.91129,0.72811,0.92299,1.3782,0.67098,0.000259506,0.000259506,0.000259506
64,40585.1,0.59158,0.34542,0.89547,0.92022,0.87118,0.91164,0.73084,0.92159,1.30502,0.67276,0.000240644,0.000240644,0.000240644
