epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,165.491,0.66367,0.53949,0.93617,0.92034,0.39233,0.43085,0.35385,0.89334,1.14479,0.65309,0.00030009,0.00030009,0.00030009
2,335.051,0.67048,0.49954,0.92405,0.90969,0.37423,0.40969,0.32986,0.89737,1.22877,0.6617,0.00061432,0.00061432,0.00061432
3,520.762,0.68862,0.51281,0.9285,0.92993,0.4005,0.44201,0.35118,0.93912,1.44202,0.66588,0.000927943,0.000927943,0.000927943
4,702.536,0.71481,0.52491,0.94001,0.91459,0.33284,0.36578,0.29575,0.92206,1.39133,0.66091,0.0012405,0.0012405,0.0012405
5,883.459,0.76023,0.53337,0.95498,0.94597,0.60619,0.66695,0.53245,0.94883,1.32377,0.6729,0.00142342,0.00142342,0.00142342
6,1072.32,0.77124,0.56263,0.95496,0.8053,0.57777,0.60504,0.47852,0.93983,1.56703,0.66095,0.00142029,0.00142029,0.00142029
7,1255.2,0.74717,0.53257,0.94593,0.89063,0.55501,0.60086,0.47718,0.93071,1.31222,0.65976,0.00141647,0.00141647,0.00141647
8,1465.03,0.77467,0.53946,0.9513,0.94615,0.43215,0.45385,0.3622,0.92511,1.23517,0.66034,0.00141196,0.00141196,0.00141196
9,1707.95,0.76692,0.54697,0.95974,0.94463,0.45819,0.48454,0.37867,0.92775,1.22882,0.66195,0.00140678,0.00140678,0.00140678
10,1922.32,0.75873,0.51807,0.94384,0.86375,0.54067,0.58348,0.45939,0.92943,1.38928,0.66613,0.00140091,0.00140091,0.00140091
11,2160.95,0.79118,0.56663,0.96638,0.89482,0.68747,0.73803,0.57131,0.95909,1.44306,0.66736,0.00139438,0.00139438,0.00139438
12,2407.13,0.77501,0.53806,0.95677,0.83206,0.44896,0.46779,0.36957,0.96412,1.59325,0.67256,0.00138718,0.00138718,0.00138718
13,2644.08,0.75124,0.52652,0.94243,0.87987,0.57522,0.60634,0.47674,0.94933,1.61932,0.6722,0.00137933,0.00137933,0.00137933
14,2863.67,0.76657,0.54274,0.95204,0.88528,0.46121,0.49634,0.38802,0.94604,1.48432,0.66702,0.00137082,0.00137082,0.00137082
