epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,233.748,0.58899,0.36186,0.88718,0.95527,0.76549,0.8012,0.64897,0.90217,1.1778,0.66225,0.00047092,0.00047092,0.00047092
2,501.304,0.64525,0.40773,0.89813,0.85933,0.72114,0.76875,0.60812,0.95913,1.58934,0.67477,0.000947151,0.000947151,0.000947151
3,768.656,0.7102,0.44087,0.9307,0.86394,0.6542,0.73751,0.56224,0.99181,1.48581,0.68121,0.00142297,0.00142297,0.00142297
4,1053.41,0.7332,0.48454,0.93413,0.89763,0.71114,0.76289,0.59,0.97028,1.37711,0.67316,0.0014276,0.0014276,0.0014276
5,1386.1,0.74757,0.49354,0.94288,0.89707,0.69161,0.75443,0.58119,0.98173,1.6445,0.67978,0.00142652,0.00142652,0.00142652
6,1702.29,0.72625,0.46015,0.93584,0.85853,0.82041,0.87432,0.69254,0.94118,1.37082,0.66897,0.00142513,0.00142513,0.00142513
7,2005.49,0.73612,0.47957,0.93347,0.84656,0.84865,0.88711,0.69836,0.93317,1.55737,0.66905,0.00142342,0.00142342,0.00142342
8,2310.61,0.73816,0.46597,0.92943,0.9275,0.83963,0.88925,0.69665,0.99663,1.43879,0.69417,0.00142141,0.00142141,0.00142141
9,2699.68,0.7495,0.47324,0.94219,0.89999,0.44248,0.47625,0.38009,0.96048,1.43793,0.67596,0.00141909,0.00141909,0.00141909
10,3033.34,0.74501,0.47475,0.93404,0.8157,0.75246,0.77695,0.60997,0.987,1.71301,0.68997,0.00141647,0.00141647,0.00141647
11,3353.77,0.76375,0.47563,0.94842,0.89992,0.81784,0.87187,0.68387,0.91981,1.4297,0.66108,0.00141354,0.00141354,0.00141354
12,3689.86,0.7476,0.4669,0.93665,0.91235,0.88091,0.91221,0.72045,0.95766,1.31192,0.6701,0.00141031,0.00141031,0.00141031
13,4013.81,0.74004,0.45756,0.92773,0.87102,0.73244,0.80415,0.635,0.96295,1.55715,0.67709,0.00140678,0.00140678,0.00140678
14,4349.47,0.75394,0.469,0.93898,0.87148,0.76831,0.84088,0.66307,0.96945,1.88061,0.67737,0.00140294,0.00140294,0.00140294
15,4695.91,0.78484,0.48754,0.95697,0.92148,0.82506,0.88213,0.70033,0.94788,1.51957,0.66468,0.00139881,0.00139881,0.00139881
16,5144.91,0.76714,0.48937,0.94947,0.8794,0.83548,0.87008,0.68891,0.93121,1.35169,0.66525,0.00139438,0.00139438,0.00139438
17,5549.63,0.74719,0.48735,0.94291,0.90544,0.78547,0.84525,0.66068,0.97798,1.42671,0.67868,0.00138965,0.00138965,0.00138965
18,5978,0.754,0.47345,0.94003,0.93081,0.77678,0.8733,0.70021,0.91708,1.56902,0.65961,0.00138464,0.00138464,0.00138464
19,6434.02,0.73439,0.44763,0.94298,0.91516,0.59132,0.64276,0.50249,0.9489,1.42842,0.67394,0.00137933,0.00137933,0.00137933
20,6838.4,0.76632,0.50533,0.94989,0.93848,0.73244,0.79143,0.61668,0.97878,1.35037,0.67945,0.00137373,0.00137373,0.00137373
21,7267.38,0.73848,0.45142,0.92459,0.87826,0.85757,0.90251,0.71656,0.92139,1.30407,0.66406,0.00136785,0.00136785,0.00136785
22,7700.77,0.72055,0.46265,0.92137,0.89421,0.83833,0.89653,0.70085,0.95534,1.44654,0.6834,0.00136168,0.00136168,0.00136168
23,8122.67,0.74251,0.49114,0.93109,0.94362,0.77817,0.84058,0.66832,0.97982,1.4386,0.67851,0.00135523,0.00135523,0.00135523
24,8575.79,0.72673,0.45949,0.93125,0.86565,0.71802,0.77583,0.61226,0.97315,1.63133,0.67924,0.00134851,0.00134851,0.00134851
25,9036.89,0.76465,0.47405,0.94459,0.9542,0.84574,0.90802,0.71683,0.95337,1.27447,0.67413,0.0013415,0.0013415,0.0013415
26,9464.62,0.7389,0.45055,0.92895,0.95993,0.84551,0.89403,0.70174,0.93872,1.25252,0.66956,0.00133423,0.00133423,0.00133423
27,9879.8,0.74787,0.45534,0.93272,0.95811,0.82628,0.8829,0.69612,0.94259,1.35444,0.67133,0.00132669,0.00132669,0.00132669
28,10351.2,0.72968,0.46102,0.92831,0.89403,0.68526,0.7371,0.58899,0.94481,1.37454,0.67076,0.00131888,0.00131888,0.00131888
29,10776.4,0.72421,0.44274,0.92324,0.8753,0.78168,0.80585,0.6352,0.93321,1.66309,0.66531,0.00131082,0.00131082,0.00131082
30,11239,0.72801,0.44183,0.9311,0.87603,0.77548,0.82707,0.63788,0.94382,1.99117,0.67332,0.00130249,0.00130249,0.00130249
31,11688.3,0.74244,0.44688,0.93339,0.87487,0.77454,0.82818,0.64457,0.96271,1.55342,0.6785,0.00129391,0.00129391,0.00129391
32,12153.7,0.72841,0.44683,0.9292,0.89023,0.80377,0.8348,0.64651,0.94169,1.62342,0.66504,0.00128507,0.00128507,0.00128507
33,12560.1,0.72262,0.44897,0.91988,0.88409,0.66883,0.72388,0.57379,0.96273,1.41233,0.67326,0.00127599,0.00127599,0.00127599
34,12981.1,0.73753,0.46313,0.9361,0.93265,0.82254,0.86043,0.68336,0.95595,1.26734,0.66815,0.00126667,0.00126667,0.00126667
35,13420.3,0.72151,0.4331,0.93174,0.91321,0.80127,0.83269,0.65689,0.94533,1.27367,0.66877,0.00125711,0.00125711,0.00125711
36,13866.3,0.72404,0.45665,0.92772,0.8458,0.70394,0.77238,0.60662,0.95383,1.57226,0.66387,0.00124731,0.00124731,0.00124731
37,14283,0.71583,0.44111,0.92423,0.94686,0.86242,0.91343,0.71647,0.95563,1.28181,0.67097,0.00123728,0.00123728,0.00123728
38,14738.3,0.71513,0.43643,0.93167,0.94011,0.78011,0.87067,0.69246,0.94414,1.35546,0.66997,0.00122703,0.00122703,0.00122703
39,15206.4,0.72073,0.43828,0.9299,0.91635,0.83981,0.88456,0.70582,0.9086,1.25066,0.6587,0.00121656,0.00121656,0.00121656
40,15603.1,0.70363,0.42477,0.92575,0.95636,0.82102,0.88316,0.708,0.92683,1.26857,0.66607,0.00120586,0.00120586,0.00120586
41,16038.4,0.717,0.41794,0.92604,0.9619,0.85236,0.89773,0.71528,0.9028,1.11131,0.65668,0.00119496,0.00119496,0.00119496
42,16460.2,0.69148,0.42914,0.91966,0.93282,0.87169,0.91419,0.73006,0.89683,1.20979,0.6518,0.00118385,0.00118385,0.00118385
43,16921.6,0.70051,0.41083,0.92316,0.90623,0.75223,0.7939,0.64011,0.89354,1.27226,0.65054,0.00117253,0.00117253,0.00117253
44,17315.7,0.69336,0.42382,0.91091,0.96908,0.84584,0.90531,0.71747,0.88958,1.1282,0.65049,0.00116102,0.00116102,0.00116102
45,17710.4,0.70018,0.42181,0.91268,0.93852,0.78489,0.86503,0.689,0.90776,1.36313,0.65311,0.00114931,0.00114931,0.00114931
46,18113.1,0.6828,0.40995,0.90579,0.88445,0.79711,0.8341,0.65923,0.95972,1.34073,0.66489,0.00113742,0.00113742,0.00113742
47,18586.7,0.70679,0.4385,0.9208,0.94493,0.84733,0.92069,0.72424,0.9115,1.17869,0.65486,0.00112534,0.00112534,0.00112534
48,19119.7,0.68318,0.4093,0.9249,0.90893,0.77632,0.8287,0.66152,0.8999,1.27399,0.65441,0.00111309,0.00111309,0.00111309
