epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.6412,0.63491,0.36529,0.899,0.93177,0.86518,0.92874,0.74989,0.89298,0.61578,0.97957,0.00047092,0.00047092,0.00047092
2,28.0175,0.63908,0.3746,0.89217,0.89646,0.87171,0.91487,0.72622,0.93236,0.63426,1.00415,0.000947151,0.000947151,0.000947151
3,41.14,0.6611,0.38042,0.89786,0.88587,0.84956,0.88992,0.69467,0.93297,0.74568,0.99363,0.00142297,0.00142297,0.00142297
4,54.1832,0.70084,0.41444,0.90662,0.91144,0.83236,0.86673,0.68287,0.94124,0.68876,0.99566,0.0014276,0.0014276,0.0014276
5,70.3864,0.70173,0.42038,0.92572,0.86335,0.76991,0.8575,0.66799,0.97128,0.91293,1.01264,0.00142652,0.00142652,0.00142652
6,85.5953,0.6768,0.40035,0.90563,0.95536,0.86239,0.91733,0.7175,0.96188,0.63544,1.00901,0.00142513,0.00142513,0.00142513
7,100.692,0.69922,0.41391,0.91145,0.94435,0.8539,0.90837,0.72916,0.9281,0.69266,0.99482,0.00142342,0.00142342,0.00142342
8,115.43,0.70695,0.40936,0.9164,0.90664,0.85921,0.8992,0.70424,0.9387,0.69641,0.99888,0.00142141,0.00142141,0.00142141
9,130.402,0.69725,0.41016,0.91194,0.79623,0.76674,0.75872,0.57668,1.01623,1.05922,1.03117,0.00141909,0.00141909,0.00141909
10,145.913,0.69683,0.41125,0.91385,0.83817,0.82696,0.84493,0.66512,0.95424,0.80999,1.00576,0.00141647,0.00141647,0.00141647
11,159.794,0.68921,0.40092,0.91069,0.92239,0.86714,0.90826,0.7169,0.95915,0.69904,1.00697,0.00141354,0.00141354,0.00141354
12,172.741,0.68011,0.40309,0.91219,0.90049,0.85546,0.87592,0.69666,0.93692,0.81151,0.99654,0.00141031,0.00141031,0.00141031
13,185.225,0.68089,0.41678,0.91925,0.87589,0.85775,0.86768,0.68271,0.91517,0.82082,0.97855,0.00140678,0.00140678,0.00140678
14,198.244,0.6923,0.42622,0.91521,0.88377,0.82565,0.85413,0.66095,0.96464,0.76886,1.00578,0.00140294,0.00140294,0.00140294
15,210.6,0.69,0.40326,0.91223,0.90307,0.85107,0.90487,0.71136,0.97077,0.65543,1.02059,0.00139881,0.00139881,0.00139881
16,223.115,0.67943,0.402,0.90185,0.88461,0.76851,0.84582,0.65747,0.91554,0.8159,1.00569,0.00139438,0.00139438,0.00139438
17,235.384,0.68308,0.40424,0.91074,0.95075,0.84454,0.90888,0.72055,0.92274,0.66681,1.00089,0.00138965,0.00138965,0.00138965
18,248.167,0.68324,0.41654,0.91361,0.91428,0.80146,0.85489,0.67707,0.92878,0.73765,1.00612,0.00138464,0.00138464,0.00138464
