epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.2856,0.37172,0.22466,0.80663,0.94086,0.88111,0.93052,0.76961,0.8895,0.63599,1.03102,0.000466993,0.000466993,0.000466993
2,26.8168,0.3951,0.2384,0.81837,0.95417,0.85507,0.92434,0.7614,0.89106,0.61775,0.98478,0.000942917,0.000942917,0.000942917
3,38.2206,0.44318,0.26205,0.82438,0.87301,0.82548,0.86034,0.69586,0.88281,0.74257,0.99222,0.0014172,0.0014172,0.0014172
4,49.2965,0.46954,0.27771,0.83229,0.89241,0.81774,0.88092,0.71534,0.88485,0.61414,0.97946,0.00142342,0.00142342,0.00142342
5,60.3657,0.47917,0.28847,0.83937,0.91339,0.80739,0.86832,0.6985,0.86659,0.61756,0.96422,0.00141909,0.00141909,0.00141909
6,72.0047,0.49065,0.29263,0.83726,0.92231,0.84449,0.88609,0.71544,0.93737,0.72304,1.03191,0.00141354,0.00141354,0.00141354
7,83.0352,0.48245,0.28816,0.83948,0.88372,0.81176,0.85406,0.69095,0.81129,0.61865,0.94433,0.00140678,0.00140678,0.00140678
8,94.0574,0.48382,0.2867,0.83997,0.89212,0.8373,0.86869,0.70833,0.87006,0.64609,0.95387,0.00139881,0.00139881,0.00139881
9,105.263,0.50779,0.29196,0.83822,0.88737,0.85594,0.88963,0.73188,0.85446,0.59594,0.96098,0.00138965,0.00138965,0.00138965
10,116.301,0.49957,0.29463,0.83757,0.93184,0.86277,0.91548,0.75384,0.8298,0.48629,0.94738,0.00137933,0.00137933,0.00137933
11,127.551,0.48377,0.29415,0.83575,0.95205,0.84946,0.90837,0.75508,0.8254,0.53008,0.95121,0.00136785,0.00136785,0.00136785
12,138.67,0.49287,0.2823,0.84363,0.95117,0.87434,0.92537,0.75549,0.8546,0.54461,0.96077,0.00135523,0.00135523,0.00135523
13,149.652,0.48127,0.28382,0.8335,0.96193,0.85349,0.92266,0.7622,0.88821,0.60312,1.00875,0.0013415,0.0013415,0.0013415
14,160.951,0.47833,0.28722,0.82868,0.94735,0.86501,0.93174,0.7578,0.87995,0.61533,1.02797,0.00132669,0.00132669,0.00132669
15,172.212,0.47571,0.28425,0.82859,0.93338,0.85951,0.91041,0.74232,0.87419,0.57971,0.99501,0.00131082,0.00131082,0.00131082
